name,pos,min,gm,g,a,cy,sh,sot,sotp,gps,fl,fld,crs,intc,tkw
Lucas Ronier,MFFW,1407,18,1,2,3,37,9,24.3,0.03,18,50,29,10,20
Rony,MFFW,916,16,0,0,3,17,4,23.5,0.00,19,27,23,8,10
Caio Roque,DF,115,3,0,0,0,1,0,0.0,0.00,0,2,10,2,3
Vitor Roque,FW,324,9,3,0,1,15,7,46.7,0.13,8,21,4,0,6
Agustín Rossi,GK,1800,20,0,0,0,0,0,,,0,2,0,0,0
Ruan,DF,1509,17,2,0,7,8,3,37.5,0.25,16,14,0,16,12
Victor Sá,FWMF,41,2,0,0,0,0,0,,,2,0,1,2,0
José Sabino,DF,1259,16,1,1,1,7,3,42.9,0.14,21,10,5,15,21
Alan Saldivia,DF,900,10,0,0,3,9,1,11.1,0.00,11,8,1,19,10
Mateo Sanabria,MF,307,12,2,0,1,13,4,30.8,0.15,8,11,15,0,3
Alex Sandro,DF,1241,16,0,0,4,2,0,0.0,0.00,24,14,32,11,14
Agustín Sant'Anna,DF,453,8,0,1,1,5,2,40.0,0.00,7,5,43,1,6
Alex Santana,MF,10,1,0,0,0,1,0,0.0,0.00,0,0,0,0,0
Santos,GK,1890,21,0,0,3,0,0,,,0,3,0,0,0
Ademir Santos,MFFW,846,21,1,1,2,23,8,34.8,0.04,17,26,40,5,12
Bruno Santos,FW,254,3,1,0,0,4,1,25.0,0.25,5,3,3,0,1
Danilo Santos,MF,1163,14,7,2,1,28,12,42.9,0.25,9,6,19,5,9
Eduardo Santos,DF,112,3,0,0,0,1,0,0.0,0.00,1,0,0,0,3
Júnior Santos,FWMF,409,9,1,0,2,8,4,50.0,0.13,6,8,5,1,1
Rafael Santos,GK,360,4,0,0,0,0,0,,,0,0,0,0,0
Eduardo Sasha,FWMF,894,16,1,0,1,20,7,35.0,0.05,1,11,14,5,0
Jefferson Savarino,MF,1109,17,3,2,2,39,14,35.9,0.05,6,15,63,1,3
Savio,DF,200,3,0,0,0,1,0,0.0,0.00,1,5,8,0,3
Gustavo Scarpa,MFFW,323,10,1,0,0,14,3,21.4,0.07,2,6,32,1,1
João Schmidt,MF,622,10,0,0,2,6,0,0.0,0.00,14,4,1,7,8
Cleiton Schwengber,GK,630,7,0,0,1,0,0,,,0,0,0,0,0
Kevin Serna,MF,1130,20,1,1,1,23,6,26.1,0.04,18,22,32,14,10
Shaylon,MF,884,16,1,1,0,11,4,36.4,0.09,13,1,14,4,3
André Silva,FW,341,12,0,0,3,5,4,80.0,0.00,11,6,0,0,0
Kássio da Silva de Jesus,FW,22,1,0,0,0,0,0,,,0,0,0,1,0
Gustavo Silva,MFFW,104,2,0,0,0,1,1,100.0,0.00,1,2,4,0,0
João Pedro Sousa Silva,FW,298,6,1,0,2,7,2,28.6,0.14,12,4,0,0,0
João Vitor Fonseca da Silva,DF,74,1,0,0,0,0,0,,,0,0,6,2,4
Luan Silva,MF,96,7,0,0,1,1,0,0.0,0.00,2,0,1,1,2
Lucas Silva,MF,584,14,0,0,5,4,0,0.0,0.00,8,2,8,10,6
Matheus Pereira da Silva,MF,553,14,0,0,1,8,1,12.5,0.00,13,3,7,3,6
Thiago Silva,DF,110,2,0,0,1,1,0,0.0,0.00,1,1,0,0,0
Luis Sinisterra,MF,347,8,1,0,0,12,3,25.0,0.08,7,1,2,3,2
Cauã Soares,FW,42,5,0,0,0,1,1,100.0,0.00,0,1,0,0,2
Cédric Soares,DF,267,8,0,0,1,2,0,0.0,0.00,2,0,14,3,4
Everton Soares,MF,378,10,1,1,2,12,2,16.7,0.08,8,4,8,1,6
Tiquinho Soares,FW,371,7,0,0,1,13,4,30.8,0.00,5,6,1,0,2
Fernando Sobral,MF,47,3,0,0,0,0,0,,,0,0,0,0,3
Ignacio Sosa,MF,419,15,0,0,5,5,1,20.0,0.00,16,19,18,3,8
Ramón Sosa,FWMF,867,17,4,2,3,20,7,35.0,0.20,16,19,31,4,2
Yeferson Soteldo,MF,614,14,0,0,0,10,4,40.0,0.00,1,11,31,2,3
Renê Sousa,FW,924,14,5,1,2,31,18,58.1,0.16,10,26,6,3,3
Fabiano Souza,DF,96,2,0,0,1,0,0,,,2,2,3,0,0
Gabriel Souza,MF,25,2,0,0,0,0,0,,,0,0,0,0,0
Hugo Souza,GK,1710,19,0,0,2,0,0,,,1,1,0,0,1
Igor Vinícius de Souza,DF,1301,15,0,1,4,4,2,50.0,0.00,16,16,35,12,28
Claudio Spinelli,FW,642,14,1,0,0,33,11,33.3,0.03,18,11,3,2,4
Raul Steffens,GK,676,8,0,0,1,0,0,,,0,2,1,0,0
Everaldo Stum,FW,1,1,0,0,0,0,0,38.9,0.22,0,2,0,0,0
Caio Suassuna,FW,7,1,0,0,0,0,0,,,0,1,2,0,0
Bruno Tabata,MF,178,8,0,0,0,8,3,37.5,0.00,3,3,24,0,2
Rubens Tadeu,MF,195,9,1,0,1,4,1,25.0,0.25,3,3,15,1,2
Gabriel Taliari,FW,555,9,3,0,0,15,6,40.0,0.20,11,18,3,1,3
Gonzalo Tapia,FW,278,11,0,0,1,8,1,12.5,0.00,6,7,13,1,3
Diego Tarzia,MF,520,16,2,2,1,18,10,55.6,0.11,11,11,26,2,11
Lucas Taverna,DF,117,3,0,0,1,1,0,0.0,0.00,4,1,3,2,1
Duplexe Tchamba,DF,1255,14,0,0,1,4,1,25.0,0.00,8,5,6,12,17
Tchê Tchê,MF,851,14,1,0,2,10,2,20.0,0.10,9,10,7,5,7
Alex Telles,DFMF,1419,18,2,3,3,9,2,22.2,0.00,23,8,103,17,14
Carlos Terán,DF,980,15,0,0,0,7,3,42.9,0.00,11,9,6,16,12
Miguel Terceros,MFFW,464,9,1,2,1,11,3,27.3,0.09,9,7,23,4,7
Tetê,MFFW,792,16,2,0,0,26,10,38.5,0.08,7,15,26,5,6
Thaciano,FWMF,608,13,2,0,2,15,3,20.0,0.13,4,7,7,3,7
Thomazella,GK,90,1,0,0,0,0,0,,,0,0,0,0,0
Rafael Thyere,DF,284,4,0,0,0,1,0,0.0,0.00,1,1,0,3,0
Tiago,MF,26,1,0,0,0,0,0,,,0,0,0,0,0
Tico,MF,2,1,0,0,0,0,0,,,0,1,0,0,0
Guilherme Tinga,DF,1118,14,0,2,0,6,2,33.3,0.00,3,8,25,21,9
Tissi,MF,66,2,0,0,0,1,0,0.0,0.00,1,2,0,0,0
Kauan Toledo,FWMF,281,5,0,2,0,5,1,20.0,0.00,7,5,4,1,6
Rafael Tolói,DF,472,6,0,0,3,4,1,25.0,0.00,8,3,1,6,10
Félix Torres Caicedo,DF,1109,15,1,0,3,11,2,18.2,0.09,13,5,2,27,11
Bruno Tubarão,DF,90,1,0,0,1,1,1,100.0,0.00,2,0,4,4,1
Enzo Vágner,FW,18,1,0,0,0,1,0,0.0,0.00,1,0,0,0,0
Vanderlan,DF,7,1,0,0,1,0,0,,,0,0,0,0,0
Guillermo Varela,DF,1161,15,0,3,3,4,0,0.0,0.00,7,10,41,16,9
Alejo Véliz,FW,155,2,0,0,0,4,0,0.0,0.00,4,1,0,0,1
Lucas Veríssimo,DF,1170,13,0,0,2,8,2,25.0,0.00,15,7,1,24,7
João Victor,DF,72,1,0,0,0,0,0,20.0,0.10,0,0,0,0,0
Marcos Victor,DF,140,4,0,0,0,0,0,,,0,0,0,1,2
Viery,DF,1168,13,1,0,4,6,2,33.3,0.17,20,8,4,5,18
Rodrigo Villagra,MF,1302,16,0,0,1,9,2,22.2,0.00,21,16,4,15,15
Lucas Villalba,MF,514,12,1,1,2,5,2,40.0,0.20,7,1,26,3,12
Néiser Villarreal,FW,544,12,3,1,0,20,8,40.0,0.15,9,15,2,1,5
Mathías Villasanti,MF,135,2,0,0,0,1,1,100.0,0.00,0,1,1,3,0
Vinicius,MF,239,6,0,0,0,0,0,,,2,4,0,3,1
Alix Vinicius,DF,1335,17,0,0,7,7,2,28.6,0.00,31,7,0,34,12
Carlos Vinícius,FW,1559,19,10,0,4,39,21,53.8,0.23,26,21,5,2,2
Heittor Vinicius,FW,27,2,0,0,0,0,0,,,1,0,0,0,0
Marcos Vinicius,DFMF,579,10,0,1,2,3,0,0.0,0.00,10,3,25,6,5
Vitão,DF,571,9,0,0,2,5,0,0.0,0.00,5,1,2,2,1
Vitinho,MF,1458,20,1,3,4,32,11,34.4,0.03,28,31,51,15,19
João Vitor,MF,595,11,0,0,1,19,3,15.8,0.00,11,7,19,1,8
Zé Vitor,MF,823,13,1,0,3,12,3,25.0,0.08,25,21,6,6,14
Kevin Viveros,FW,1778,20,12,2,3,55,30,54.5,0.18,44,65,10,1,3
Tiago Volpi,GK,1170,13,2,0,1,2,2,100.0,0.00,0,0,0,0,1
Wagner,DF,684,9,0,0,3,2,0,0.0,0.00,10,2,0,7,9
Walace,MF,30,2,0,0,0,1,0,0.0,0.00,0,0,0,0,0
Wallace,MF,52,7,0,0,1,1,0,0.0,0.00,3,5,0,0,0
Walter,GK,1710,19,0,0,3,0,0,,,1,0,0,0,0
Wanderson,MF,436,16,1,0,0,13,4,30.8,0.08,8,3,20,0,6
Warleson,GK,180,2,0,0,1,0,0,,,0,1,0,0,0
José Welison,MF,1050,17,0,0,3,11,0,0.0,0.00,22,12,6,22,17
João Wellington,MF,227,3,0,0,0,4,3,75.0,0.00,3,4,2,2,5
Wendell,DFMF,946,14,0,3,4,6,1,16.7,0.00,30,8,30,8,14
Wéverton,GK,1620,18,0,1,1,0,0,,,1,5,0,0,0
William,DF,643,11,0,0,3,6,2,33.3,0.00,10,4,57,8,10
Willian,MF,475,10,0,0,0,5,0,0.0,0.00,9,3,0,10,7
Mateus Xavier,MF,5,1,0,0,0,0,0,,,1,0,0,0,1
Samuel Xavier,DF,1055,13,0,0,3,6,2,33.3,0.00,15,23,16,10,15
Ythallo,DF,45,1,0,0,1,0,0,,,1,0,0,0,0
Yuri,MF,323,6,0,0,0,1,1,100.0,0.00,4,4,3,6,6
Bruno Zapelli,MF,683,15,0,1,4,10,2,20.0,0.00,9,8,30,7,5
Bernardo Zortea,MF,69,3,0,0,0,1,0,0.0,0.00,4,0,0,0,1
Lukas Zuccarello,MF,11,1,0,0,0,1,0,0.0,0.00,0,1,0,1,0
